route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCE1325991,20456,OCESN005914F0600613155,"5914",0,,
OCE1325991,30606,OCESN005916F3903913161,"5916",0,,
OCE1325991,256,OCESN005914F0200213149,"5914",0,,
OCE1325991,30607,OCESN005912F0200213143,"5912",0,,
OCE1325991,8277,OCESN005912F0800813144,"5912",0,,
OCE1325991,20493,OCESN005912F0500513141,"5912",0,,
OCE1325991,20495,OCESN005912F0400413142,"5912",0,,
OCE1325991,20498,OCESN005912F0100113147,"5912",0,,
OCE1325991,20453,OCESN005914F0800813148,"5914",0,,
OCE1325991,30608,OCESN005912F0300313145,"5912",0,,
OCE1325991,20496,OCESN005912F0600613146,"5912",0,,
OCE1325991,474,OCESN005916F0800813164,"5916",0,,
OCE1325991,14178,OCESN005916F0700713176,"5916",0,,
OCE1325991,16524,OCESN005916F1901913177,"5916",0,,
OCE1325991,20492,OCESN005916F2702713174,"5916",0,,
OCE1325991,256,OCESN005916F3603613175,"5916",0,,
OCE1325991,20507,OCESN005916F1601613180,"5916",0,,
OCE1325991,20506,OCESN005916F0300313181,"5916",0,,
OCE1325991,20505,OCESN005916F3803813178,"5916",0,,
OCE1325991,16698,OCESN005916F1701713173,"5916",0,,
OCE1325991,8350,OCESN005916F3403413167,"5916",0,,
OCE1325991,3077,OCESN005916F2802813168,"5916",0,,
OCE1325991,20495,OCESN005916F0900913165,"5916",0,,
OCE1325991,20496,OCESN005916F0200213166,"5916",0,,
OCE1325991,30609,OCESN005916F0400413171,"5916",0,,
OCE1325991,1291,OCESN005916F3003013172,"5916",0,,
OCE1325991,20503,OCESN005916F0500513169,"5916",0,,
OCE1325991,30610,OCESN005916F3703713170,"5916",0,,
OCE1325991,1291,OCESN005912F0900913140,"5912",0,,
OCE1325991,20560,OCESN005906F0700713098,"5906",0,,
OCE1325991,6515,OCESN005906F1001013099,"5906",0,,
OCE1325991,9531,OCESN005906F0300313103,"5906",0,,
OCE1325991,16919,OCESN005908F0100113104,"5908",0,,
OCE1325991,14178,OCESN005906F1301313101,"5906",0,,
OCE1325991,20561,OCESN005906F0500513102,"5906",0,,
OCE1325991,20559,OCESN005906F0100113095,"5906",0,,
OCE1325991,19142,OCESN005900F0600613065,"5900",0,,
OCE1325991,16919,OCESN005900F0200213067,"5900",0,,
OCE1325991,20525,OCESN005900F0300313063,"5900",0,,
OCE1325991,16919,OCESN005904F0300313074,"5904",0,,
OCE1325991,20556,OCESN005904F0100113075,"5904",0,,
OCE1325991,19142,OCESN005904F0500513073,"5904",0,,
OCE1325991,20553,OCESN005908F0300313105,"5908",0,,
OCE1325991,20479,OCESN005910F0900913129,"5910",0,,
OCE1325991,15855,OCESN005910F2402413127,"5910",0,,
OCE1325991,15460,OCESN005910F2102113128,"5910",0,,
OCE1325991,20482,OCESN005910F1201213134,"5910",0,,
OCE1325991,20492,OCESN005912F0700713139,"5912",0,,
OCE1325991,20480,OCESN005910F0200213131,"5910",0,,
OCE1325991,20478,OCESN005910F0500513132,"5910",0,,
OCE1325991,16829,OCESN005910F1901913126,"5910",0,,
OCE1325991,15784,OCESN005910F1501513120,"5910",0,,
OCE1325991,1291,OCESN005910F2002013121,"5910",0,,
OCE1325991,20554,OCESN005908F0200213107,"5908",0,,
OCE1325991,20481,OCESN005910F1301313124,"5910",0,,
OCE1325991,11063,OCESN005910F0600613125,"5910",0,,
OCE1325991,30611,OCESN005910F1001013122,"5910",0,,
OCE1325991,30612,OCESN005910F0100113123,"5910",0,,
OCE1325991,16524,OCESN005914F0500513154,"5914",0,,
OCE1325991,16707,OCESN005916F1801813160,"5916",0,,
OCE1325991,16707,OCESN005906F0800813100,"5906",0,,
OCE1325991,16708,OCESN005910F1401413133,"5910",0,,
OCESN-87317586-87271007,15999,OCESN849016F0200260174,"849016",1,,
OCESN-87317586-87271007,15877,OCESN849022F0100160179,"849022",1,,
OCESN-87317586-87271007,16049,OCESN016391F0300318207,"16391",1,,
OCESN-87317586-87271007,16116,OCESN849026F0200260182,"849026",0,,
OCESN-87317586-87271007,474,OCESN849026F0300360183,"849026",0,,
OCESN-87317586-87271007,15915,OCESN849026F0100160181,"849026",0,,
OCESN-87317586-87271007,14178,OCESN849014F0100160172,"849014",0,,
OCESN-87317586-87271007,16149,OCESN849014F0200260173,"849014",0,,
OCE1109946,15858,OCESN012023F0300317710,"12023",1,,
OCE1109946,15911,OCESN012031F0400417721,"12031",1,,
OCE1109946,15858,OCESN012027F0200217712,"12027",1,,
OCE1109946,30613,OCESN012037F0600617726,"12037",1,,
OCE1109946,15866,OCESN012039F0300317727,"12039",1,,
OCE1109946,16032,OCESN012037F0500517724,"12037",1,,
OCE1109946,15999,OCESN012029F0500517719,"12029",1,,
OCE1109946,16050,OCESN012037F0400417725,"12037",1,,
OCE1109946,15911,OCESN012007F0600617697,"12007",1,,
OCE1109946,15865,OCESN012015F0400417702,"12015",1,,
OCE1109946,15865,OCESN012003F0400417690,"12003",1,,
OCE1109946,15858,OCESN012001F0100117687,"12001",1,,
OCE1109946,15999,OCESN012007F0500517694,"12007",1,,
OCE1109946,16032,OCESN012019F0300317706,"12019",1,,
OCE1109946,16033,OCESN012019F0100117707,"12019",1,,
OCE1109946,15911,OCESN012018F0300317705,"12018",0,,
OCE1109946,15858,OCESN012024F0100117711,"12024",0,,
OCE1109946,15859,OCESN012004F0300317692,"12004",0,,
OCE1109946,15858,OCESN012006F0200217693,"12006",0,,
OCE1109946,15859,OCESN012020F0100117709,"12020",0,,
OCE1109946,16075,OCESN012028F0100117714,"12028",0,,
OCE1109946,16045,OCESN012028F0800817713,"12028",0,,
OCE1109946,15858,OCESN012016F0200217703,"12016",0,,
OCE1109946,16032,OCESN012028F0700717716,"12028",0,,
OCE1109946,15877,OCESN012012F0500517700,"12012",0,,
OCE1109946,15870,OCESN012010F0300317698,"12010",0,,
OCE1109946,15911,OCESN012000F0300317686,"12000",0,,
OCE1109946,15858,OCESN012032F0200217723,"12032",0,,
OCE1109946,16031,OCESN012002F0200217689,"12002",0,,
OCE1109946,16030,OCESN012002F0300317688,"12002",0,,
OCE1109948,15861,OCESN012305F0100117731,"12305",1,,
OCE1109948,15858,OCESN012303F0100117730,"12303",1,,
OCE1109948,15858,OCESN012331F0300317741,"12331",1,,
OCE1109948,15866,OCESN012315F0100117734,"12315",1,,
OCE1109948,15858,OCESN012321F0100117737,"12321",1,,
OCE1109948,15859,OCESN012311F0200217732,"12311",1,,
OCE1109948,15858,OCESN012313F0200217733,"12313",1,,
OCE1109948,15914,OCESN012328F0600617740,"12328",0,,
OCE1109948,15858,OCESN012328F0700717739,"12328",0,,
OCE1109948,15858,OCESN012318F0300317735,"12318",0,,
OCE1109948,15858,OCESN012302F0100117729,"12302",0,,
OCE1109948,15859,OCESN012322F0100117738,"12322",0,,
OCE1109948,15858,OCESN012320F0300317736,"12320",0,,
OCE1109948,15858,OCESN012300F0100117728,"12300",0,,
OCE1209988,20633,OCESN014043F1001018015,"14043",1,,
OCE1209988,30614,OCESN014043F1301318014,"14043",1,,
OCE1209988,20639,OCESN014063F0100118085,"14063",1,,
OCE1209988,20634,OCESN014043F1201218016,"14043",1,,
OCE1209988,20631,OCESN014081F0800818142,"14081",1,,
OCE1209988,20620,OCESN014031F0100117981,"14031",1,,
OCE1209988,19986,OCESN014043F0800818013,"14043",1,,
OCE1209988,20442,OCESN014065F0100118091,"14065",1,,
OCE1209988,1881,OCESN014081F1001018143,"14081",1,,
OCE1209988,20662,OCESN014049F0400418047,"14049",1,,
OCE1209988,20588,OCESN014053F0500518059,"14053",1,,
OCE1209988,30615,OCESN014053F0300318058,"14053",1,,
OCE1209988,20641,OCESN014055F0100118060,"14055",1,,
OCE1209988,30616,OCESN014059F0100118070,"14059",1,,
OCE1209988,20637,OCESN014043F0700718017,"14043",1,,
OCE1209988,20636,OCESN014043F0900918018,"14043",1,,
OCE1209988,20661,OCESN014049F0800818046,"14049",1,,
OCE1209988,20642,OCESN014057F0300318068,"14057",1,,
OCE1209988,2512,OCESN014037F0200217999,"14037",1,,
OCE1209988,19986,OCESN014037F0800817998,"14037",1,,
OCE1209988,2512,OCESN014075F0400418114,"14075",1,,
OCE1209988,20626,OCESN014037F0700717997,"14037",1,,
OCE1209988,20620,OCESN014035F0300317994,"14035",1,,
OCE1209988,20442,OCESN014071F0100118104,"14071",1,,
OCE1209988,20620,OCESN014073F0100118109,"14073",1,,
OCE1209988,20766,OCESN014079F0200218126,"14079",1,,
OCE1209988,20764,OCESN014079F1201218125,"14079",1,,
OCE1209988,19984,OCESN014037F0100118001,"14037",1,,
OCE1209988,20765,OCESN014079F1101118127,"14079",1,,
OCE1209988,30617,OCESN014033F0600617986,"14033",1,,
OCE1209988,20767,OCESN014079F0800818128,"14079",1,,
OCE1209988,2511,OCESN014079F1301318124,"14079",1,,
OCE1209988,20649,OCESN014075F0100118116,"14075",1,,
OCE1209988,30618,OCESN014041F0400418010,"14041",1,,
OCE1209988,30619,OCESN014033F0500517989,"14033",1,,
